CADRE GENE ID,AFUB Gene ID,Af293 orthologue,public id,Description for A1163,Description for Af293
CADAFUBG00000001,AFUB_000010,,,"dynamin family GTPase, putative; encoded by transcript AFUB_000010A similar to GB:CAE81930.1: GTP-binding protein [Neurospora crassa]",
CADAFUBG00000002,AFUB_000020,,,conserved hypothetical protein; encoded by transcript AFUB_000020A,
CADAFUBG00000003,AFUB_000030,,,"cytochrome P450 monooxygenase, putative; encoded by transcript AFUB_000030A similar to O-methylsterigmatocystin oxidoreductase (GI:38566928) [Neurospora crassa]",
CADAFUBG00000004,AFUB_000040,,,hypothetical protein; encoded by transcript AFUB_000040A,
CADAFUBG00000005,AFUB_000050,,,"RTM1-like protein, putative; encoded by transcript AFUB_000050A similar to SP:P40113: RTM1 protein. {Saccharomyces cerevisiae;} PMID: 7672593",
CADAFUBG00000006,AFUB_000060,,,"RTM1-like protein, putative; encoded by transcript AFUB_000060A similar to SP:P40113: RTM1 protein. {Saccharomyces cerevisiae;} PMID: 7672593",
CADAFUBG00000007,AFUB_000070,,,"D-amino acid oxidase, putative; encoded by transcript AFUB_000070A similar to SP:P80324: D-amino acid oxidase [Rhodosporidium toruloides]; GO_function: oxidoreductase activity [GO ID 0016491]; GO_function: FAD binding [GO ID 0050660]; GO_process: metabolic process [GO ID 0008152]; (1.4.3.-)",
CADAFUBG00000008,AFUB_000080,,,"endoribonuclease L-PSP, putative; encoded by transcript AFUB_000080A similar to GB:AAP07150.1: translation initiation inhibitor [Bacillus cereus ATCC 14579]; GO_function: endoribonuclease activity [GO ID 0004521]; GO_process: mRNA catabolic process [GO ID 0006402]",
CADAFUBG00000009,AFUB_000090,,,conserved hypothetical protein; encoded by transcript AFUB_000090A similar to PIR:S67691: probable membrane protein YDL144c[Saccharomyces cerevisiae],
CADAFUBG00000010,AFUB_000100,,,"tartrate dehydrogenase, putative; encoded by transcript AFUB_000100A similar to tartrate dehydrogenase TtuC (GI:984373) [Rhizobium vitis] PMID: 8672817; GO_function: tartrate dehydrogenase activity [GO ID 0009027]; GO_process: carboxylic acid catabolic process [GO ID 0046395]; (1.1.1.93)",
CADAFUBG00000011,AFUB_000110,,,"PrnA-like fungal specific transcription factor, putative; encoded by transcript AFUB_000110A similar to GB:CAA11374.1: PrnA protein [Emericella nidulans] PMID: 9622360",
CADAFUBG00000012,AFUB_000120,,,"succinate-semialdehyde dehydrogenase, putative; encoded by transcript AFUB_000120A similar to GB:CAB65612.1: succinate-semialdehyde dehydrogenase (predicted); involved in glutamate metabolism (predicted); involved in tyrosine metabolism (predicted); similar to S. cerevisiae YBR006W [Schizosaccharomyces pombe]; GO_function: succinate-semialdehyde dehydrogenase activity [GO ID 0004777]; GO_process: gamma-aminobutyric acid catabolic process [GO ID 0009450]",
CADAFUBG00000013,AFUB_000130,,,"TatD family hydrolase, putative; encoded by transcript AFUB_000130A; GO_function: hydrolase activity [GO ID 0016787]; GO_process: metabolic process [GO ID 0008152]",
CADAFUBG00000014,AFUB_000140,,,"2-haloalkanoic acid dehalogenase, putative; encoded by transcript AFUB_000140A similar to GB:BAB51201.1: 2-haloalkanoic acid dehalogenase [Mesorhizobium loti]; GO_function: (S)-2-haloacid dehalogenase activity [GO ID 0018784]; GO_process: xenobiotic metabolic process [GO ID 0006805]",
CADAFUBG00000015,AFUB_000150,,,"4-aminobutyrate aminotransferase, putative; encoded by transcript AFUB_000150A; GO_function: 4-aminobutyrate transaminase activity [GO ID 0003867]; GO_process: metabolic process [GO ID 0008152]; (2.6.1.19)",
CADAFUBG00000016,AFUB_000160,CADAFUAG00001742,AFUA_6G14610,"alfa-L-rhamnosidase, putative; encoded by transcript AFUB_000160A","Afu6g14610 (Alt. Locus), alfa-L-rhamnosidase, putative, similar to GB:AAR96046.1: alpha-L-rhamnosidase A (Thermomicrobia             bacterium PRI-1686)"
CADAFUBG00000017,AFUB_000170,CADAFUAG00002022,AFUA_6G14600,"beta-glucosidase, putative; encoded by transcript AFUB_000170A","Afu6g14600 (Alt. Locus), beta-glucosidase, putative, similar to GB:AAP57758.1: Cel1b {Hypocrea jecorina;}"
CADAFUBG00000018,AFUB_000180,CADAFUAG00002113,AFUA_6G14590,"MFS alpha-glucoside transporter, putative; encoded by transcript AFUB_000180A","Afu6g14590 (Alt. Locus), MFS alpha-glucoside transporter, putative, similar to maltose permease (GI:14278920) (Aspergillus oryzae)"
CADAFUBG00000019,AFUB_000190,CADAFUAG00001767,AFUA_6G14580,"C6 finger domain protein, putative; encoded by transcript AFUB_000190A","Afu6g14580 (Alt. Locus), C6 finger domain protein, putative"
CADAFUBG00000020,AFUB_000200,CADAFUAG00001698,AFUA_6G14570,conserved hypothetical protein; encoded by transcript AFUB_000200A,"Afu6g14570 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000021,AFUB_000210,CADAFUAG00001721,AFUA_6G14560,"hexose transporter, putative; encoded by transcript AFUB_000210A","Afu6g14560 (Alt. Locus), hexose transporter, putative"
CADAFUBG00000022,AFUB_000220,CADAFUAG00002284,AFUA_6G14550,"xylosidase/arabinosidase, putative; encoded by transcript AFUB_000220A","Afu6g14550 (Alt. Locus), xylosidase/arabinosidase, putative, similar to GB:BAC14043.1: xylosidase : arabinofuranosidase     (Oceanobacillus iheyensis HTE831), (3.2.1.-)"
CADAFUBG00000023,AFUB_000230,CADAFUAG00001688,AFUA_6G14540,"endo-1,3(4)-beta-glucanase, putative; encoded by transcript AFUB_000230A","Afu6g14540 (Alt. Locus), endo-1,3(4)-beta-glucanase, putative, similar to endo-1,3-beta-glucanase (GI:6911223) (Streptomyces sioyaensis), (3.2.1.6)"
CADAFUBG00000024,AFUB_000240,CADAFUAG00002250,AFUA_6G14530,"L-cystine transporter, putative; encoded by transcript AFUB_000240A","Afu6g14530 (Alt. Locus), L-cystine transporter, putative, similar to Cystinosin. (Swiss-Prot:P57757) (Mus musculus;)"
CADAFUBG00000025,AFUB_000250,CADAFUAG00002342,AFUA_6G14520,"PTR family peptide transporter, putative; encoded by transcript AFUB_000250A","Afu6g14520 (Alt. Locus), PTR family peptide transporter, putative, similar to integral membrane peptide transporter, mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p; Ptr2p (GI:6322946) (Saccharomyces cerevisiae)"
CADAFUBG00000026,AFUB_000260,CADAFUAG00002173,AFUA_6G14510,"monooxygenase, putative; encoded by transcript AFUB_000260A","Afu6g14510 (Alt. Locus), monooxygenase, putative, similar to GB:BAC50242.1: ORF_ID:blr4977 putative monooxygenase (EC             1.14.13.-) (Bradyrhizobium japonicum), (1.14.13.1)"
CADAFUBG00000027,AFUB_000270,CADAFUAG00002162,AFUA_6G14500,"MFS sugar transporter, putative; encoded by transcript AFUB_000270A","Afu6g14500 (Alt. Locus), MFS sugar transporter, putative"
CADAFUBG00000028,AFUB_000280,CADAFUAG00002146,AFUA_6G14490,"beta-glucosidase, putative; encoded by transcript AFUB_000280A","Afu6g14490 (Alt. Locus), beta-glucosidase, putative, similar to GB:AAP57759.1: Cel3d {Hypocrea jecorina;}, (3.2.1.-)"
CADAFUBG00000029,AFUB_000290,CADAFUAG00002086,AFUA_6G14480,"alpha-1,3-mannosyltransferase, putative; encoded by transcript AFUB_000290A","Afu6g14480 (Alt. Locus), alpha-1,3-mannosyltransferase, putative, similar to MaNnosylTransferase Mnt2p (GI:6321180) (Saccharomyces cerevisiae), (2.4.1.-)"
CADAFUBG00000030,AFUB_000300,CADAFUAG00002266,AFUA_6G14470,conserved hypothetical protein; encoded by transcript AFUB_000300A,"Afu6g14470 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000031,AFUB_000310,CADAFUAG00002179,AFUA_6G14460,"haloalkanoic acid dehalogenase, putative; encoded by transcript AFUB_000310A","Afu6g14460 (Alt. Locus), haloalkanoic acid dehalogenase, putative, similar to (S)-2-haloacid dehalogenase H-109 (2-haloalkanoic aciddehalogenase H-109) (L-2-haloacid dehalogenase H-109) (Halocarboxylicacid halidohydrolase H-109) (Swiss-Prot:Q59728) (Pseudomonas putida) PubMed=7764511  similar to (S)-2-haloacid dehalogenase (2-haloalkanoic aciddehalogenase) (L-2-haloacid dehalogenase) (Halocarboxylic acidhalidohydrolase) (L-DEX) (Swiss-Prot:Q53464) (Pseudomonas sp. YL) PubMed=7944368, (3.8.1.-)"
CADAFUBG00000032,AFUB_000320,CADAFUAG00002296,AFUA_6G14450,hypothetical protein; encoded by transcript AFUB_000320A,"Afu6g14450 (Alt. Locus), hypothetical protein"
CADAFUBG00000033,AFUB_000330,CADAFUAG00001567,AFUA_6G14442,"MFS monosaccharide transporter, putative; encoded by transcript AFUB_000330A","Afu6g14440 (Alt. Locus), MFS monosaccharide transporter, putative, similar to  monosaccharide transporter AmMst-1 (Amanita muscaria)"
CADAFUBG00000034,AFUB_000340,CADAFUAG00001987,AFUA_6G14420,ADAM family of metalloprotease ADM-A; encoded by transcript AFUB_000340A,ADAM family of metalloprotease ADM-AADAM protease ADM-A (EC 3.4.24.-); [Source:UniProtKB/TrEMBL;Acc:Q58I96]
CADAFUBG00000035,AFUB_000350,CADAFUAG00002038,AFUA_6G14410,amidase family protein; encoded by transcript AFUB_000350A,"Afu6g14410 (Alt. Locus), amidase family protein, (3.5.1.-)"
CADAFUBG00000036,AFUB_000360,CADAFUAG00002121,AFUA_6G14400,conserved hypothetical protein; encoded by transcript AFUB_000360A,"Afu6g14400 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000037,AFUB_000370,CADAFUAG00001665,AFUA_6G14390,"extracelular cellulose binding protein (Cip2), putative; encoded by transcript AFUB_000370A similar to cellulose binding protein Cip2 (GI:31747154) [Hypocrea jecorina] PMID: 12788920 similar to multidomain acetyl xylan esterase CesA (GI:5834678) [Ruminococcus flavefaciens] PMID: 10846217","Afu6g14390 (Alt. Locus), extracelular cellulose binding protein (Cip2), putative, similar to cellulose binding protein Cip2 (GI:31747154) (Hypocrea jecorina) PMID: 12788920 similar to multidomain acetyl xylan esterase CesA (GI:5834678) (Ruminococcus flavefaciens) PMID: 10846217"
CADAFUBG00000038,AFUB_000380,CADAFUAG00001716,AFUA_6G14370,"AraC-like ligand binding domain protein, putative; encoded by transcript AFUB_000380A","Afu6g14370 (Alt. Locus), AraC-like ligand binding domain protein, putative, contains an AraC-like ligand binding domain"
CADAFUBG00000039,AFUB_000390,CADAFUAG00001647,AFUA_6G14360,"cytochrome P450 monooxygenase, putative; encoded by transcript AFUB_000390A","Afu6g14360 (Alt. Locus), cytochrome P450 monooxygenase, putative, similar to SP:Q12645: pisatin demethylase (Cytochrome P450 57A1) (Nectria haematococca), (1.14.-.-)"
CADAFUBG00000040,AFUB_000400,CADAFUAG00001994,AFUA_6G14350,"C6 transcription factor, putative; encoded by transcript AFUB_000400A","Afu6g14350 (Alt. Locus), C6 transcription factor, putative"
CADAFUBG00000041,AFUB_000410,CADAFUAG00001872,AFUA_6G14340,"glucooligosaccharide oxidase, putative; encoded by transcript AFUB_000410A","Afu6g14340 (Alt. Locus), glucooligosaccharide oxidase, putative, (1.5.3.-)"
CADAFUBG00000042,AFUB_000420,CADAFUAG00001769,AFUA_6G14330,"5-oxo-L-prolinase, putative; encoded by transcript AFUB_000420A","Afu6g14330 (Alt. Locus), 5-oxo-L-prolinase, putative, similar to GB:BAD13434.1: 5-oxo-L-prolinase (Homo sapiens)    similar to putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; Ykl215cp (GI:6322634) (Saccharomyces cerevisiae), (3.5.2.9)"
CADAFUBG00000043,AFUB_000430,CADAFUAG00001995,AFUA_6G14320,conserved hypothetical protein; encoded by transcript AFUB_000430A,"Afu6g14320 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000044,AFUB_000440,CADAFUAG00001865,AFUA_6G14310,"5'-nucleotidase, putative; encoded by transcript AFUB_000440A","Afu6g14310 (Alt. Locus), 5\'-nucleotidase, putative"
CADAFUBG00000045,AFUB_000450,CADAFUAG00002324,AFUA_6G14300,FAD binding domain protein; encoded by transcript AFUB_000450A,"Afu6g14300 (Alt. Locus), FAD binding domain protein"
CADAFUBG00000046,AFUB_000460,CADAFUAG00002109,AFUA_6G14290,conserved hypothetical protein; encoded by transcript AFUB_000460A,"Afu6g14290 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000047,AFUB_000470,CADAFUAG00001630,AFUA_6G14280,conserved hypothetical protein; encoded by transcript AFUB_000470A,"Afu6g14280 (Alt. Locus), flavin-binding monooxygenase-like protein"
CADAFUBG00000048,AFUB_000480,CADAFUAG00002359,AFUA_6G14270,conserved hypothetical protein; encoded by transcript AFUB_000480A,"Afu6g14270 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00000049,AFUB_000490,CADAFUAG00001798,AFUA_6G14260,"U3 small nucleolar ribonucleoprotein protein Lcp5, putative; encoded by transcript AFUB_000490A","Afu6g14260 (Alt. Locus), U3 small nucleolar ribonucleoprotein protein Lcp5, putative, similar to U3 small nucleolar ribonucleoprotein protein LCP5; Yer127wp (GI:603366) (Saccharomyces cerevisiae)"
CADAFUBG00000050,AFUB_000500,CADAFUAG00001671,AFUA_6G14250,"endosomal integral membrane protein (P24a), putative; encoded by transcript AFUB_000500A","Afu6g14250 (Alt. Locus), endosomal integral membrane protein (P24a), putative"
